trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id,delay_id
bus_trip_0004001352023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1666
bus_trip_0004001362023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1667
bus_trip_0004001372023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1668
bus_trip_0004001382023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1669
bus_trip_0004001392023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1670
bus_trip_0004001402023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1671
bus_trip_0004001412023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1672
bus_trip_0004001422023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1673
bus_trip_0004001432023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1674
bus_trip_0004001442023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1675
bus_trip_0004001452023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1676
bus_trip_0004001462023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1677
bus_trip_0004001472023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1678
bus_trip_0004001482023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1679
bus_trip_0004001492023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1680
bus_trip_0004001502023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1681
bus_trip_0004001512023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1682
