id,name,product_category,store_name,points
693,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",SAFWAN COMMUNICATION SNC DI AHMED S. E AHAMED MOHAMMAD M.,POINT (11.119337 46.086062)
694,CENTRO STORICO PIEDICASTELLO,,BIOGRIF SRL,POINT (11.118603 46.086556)
695,CENTRO STORICO PIEDICASTELLO,MACCHINE-ATTREZZ.E PROD.AGRIC.E GIARD.,T.M.T.  S.R.L.,POINT (11.115354 46.081878)
696,CENTRO STORICO PIEDICASTELLO,PRODOTTI TESSILI,GALTEX S.R.L.,POINT (11.103817 46.091733)
697,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,LILLA S.P.A.,POINT (11.115883 46.091419)
698,CENTRO STORICO PIEDICASTELLO,ARTICOLI IGIENICO SANITARI,IANDOLO S.R.L.,POINT (11.108208 46.086666)
699,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,DIQUIGIOVANNI S.R.L.,POINT (11.119672 46.088617)
700,CENTRO STORICO PIEDICASTELLO,CALZATURE E ARTICOLI IN CUOIO,S.S. RACING TEAM S.R.L.,POINT (11.104729 46.092749)
701,CENTRO STORICO PIEDICASTELLO,VARIE,ITALPARS GROUP S.R.L.,POINT (11.107049 46.088049)
702,CENTRO STORICO PIEDICASTELLO,MATERIALE DA COSTRUZIONE,ALBERTINI S.R.L.,POINT (11.118505 46.084997)
703,CENTRO STORICO PIEDICASTELLO,,ALBERTINI SRL,POINT (11.118505 46.084997)
704,CENTRO STORICO PIEDICASTELLO,nan,BAHAJ ALFRED,POINT (11.123016 46.084601)
705,CENTRO STORICO PIEDICASTELLO,CARTOLERIA-CANCELLERIA E FORN. PER UFF.,BAHAJ ALFRED,POINT (11.123016 46.084601)
706,CENTRO STORICO PIEDICASTELLO,nan,TECNOITALIA S.R.L.,POINT (11.118581 46.094203)
707,CENTRO STORICO PIEDICASTELLO,CARTOLERIA-CANCELLERIA E FORN. PER UFF.,TECNOITALIA S.R.L.,POINT (11.118581 46.094203)
708,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,MICH GERMANA,POINT (11.119601 46.077507)
709,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,TONINI GRANDI IMPIANTI S.N.C. DI TONINI STEFANO & C.,POINT (11.124793 46.074601)
710,CENTRO STORICO PIEDICASTELLO,MATERIALI TERMOIDRAULICI,ZORZI GEOM. MARIO S.R.L.,POINT (11.106027 46.088531)
711,CENTRO STORICO PIEDICASTELLO,,HELD GUIDO,POINT (11.114588 46.090103)
712,CENTRO STORICO PIEDICASTELLO,VARIE,BURGER KING RESTAURANTS ITALIA S.P.A.,POINT (11.118413 46.085996)
713,CENTRO STORICO PIEDICASTELLO,nan,IDEA S.R.L.,POINT (11.118413 46.085996)
714,CENTRO STORICO PIEDICASTELLO,FIORI E PIANTE,TRENTINOPLANT.COM SOCIETA' A RESPONSABILITA' LIMITATA SEMPL,POINT (11.118413 46.085996)
715,CENTRO STORICO PIEDICASTELLO,GIORNALI-RIVISTE E PERIODICI,ALDI S.R.L.,POINT (11.118413 46.085996)
716,CENTRO STORICO PIEDICASTELLO,SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE),ALDI S.R.L.,POINT (11.118413 46.085996)
717,CENTRO STORICO PIEDICASTELLO,"BEVANDE (VINI, OLI, BIRRA ED ALTRE)",ENOVALSUGANA S.A.S. DI BALDI MASSIMO & C.,POINT (11.118413 46.085996)
718,CENTRO STORICO PIEDICASTELLO,FRUTTA E VERDURA,BIOCESTA DEL GUSTO S.A.S. DI DE GRAMATICA GIULIA & C.,POINT (11.12169 46.087622)
719,CENTRO STORICO PIEDICASTELLO,"ELETTRODOMESTICI, RADIO, TELEVISORI",MEDIAMARKET SPA,POINT (11.117628 46.088329)
720,CENTRO STORICO PIEDICASTELLO,ART.ILLUMINAZIONE E MATERIALE ELETTRICO,GRUPPO GIOVANNINI S.R.L.,POINT (11.11115 46.086879)
721,CENTRO STORICO PIEDICASTELLO,ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A,MARGONI CRISTIAN,POINT (11.119872 46.086869)
722,CENTRO STORICO PIEDICASTELLO,ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE,MARGONI CRISTIAN,POINT (11.119872 46.086869)
723,CENTRO STORICO PIEDICASTELLO,,EURO-COMPETENZ S.R.L.,POINT (11.119872 46.086869)
724,CENTRO STORICO PIEDICASTELLO,ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A,KIWI SPORTS HOUSE SRL,POINT (11.120827 46.082703)
725,CENTRO STORICO PIEDICASTELLO,CALZATURE E ARTICOLI IN CUOIO,SCARPE & SCARPE S.P.A.,POINT (11.119671 46.084932)
726,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,OBI ITALIA SRL,POINT (11.120008 46.084019)
727,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,VEGLIO PAOLA,POINT (11.122988 46.084959)
728,CENTRO STORICO PIEDICASTELLO,ROSTICCERIA,LA PERLA D'ORIENTE S.N.C. DI LIU XINJIE & C.,POINT (11.124597 46.07484)
729,CENTRO STORICO PIEDICASTELLO,SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE),PRIX QUALITY S.P.A.,POINT (11.112776 46.091266)
730,CENTRO STORICO PIEDICASTELLO,MOBILI,TODESCHI LUCIANO,POINT (11.115163 46.081058)
731,CENTRO STORICO PIEDICASTELLO,AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI,BEN BRAHIM SAOUSSEN,POINT (11.116932 46.081593)
